trip_code,route_code
WM_HIG_FOR_030,WM_HIG_FOR
WM_HIG_FOR_031,WM_HIG_FOR
WM_HIG_FOR_032,WM_HIG_FOR
WM_HIG_FOR_033,WM_HIG_FOR
WM_HIG_FOR_034,WM_HIG_FOR
WM_HIG_FOR_035,WM_HIG_FOR
WM_HIG_FOR_036,WM_HIG_FOR
WM_HIG_FOR_037,WM_HIG_FOR
WM_HIG_MAT_001,WM_HIG_MAT
WM_HIG_MAT_002,WM_HIG_MAT
WM_HIG_MAT_003,WM_HIG_MAT
WM_HIG_MAT_004,WM_HIG_MAT
WM_HIG_MAT_005,WM_HIG_MAT
WM_HIG_MAT_006,WM_HIG_MAT
WM_HIG_MAT_007,WM_HIG_MAT
WM_HIG_MAT_008,WM_HIG_MAT
WM_HIG_MAT_009,WM_HIG_MAT
WM_HIG_MAT_010,WM_HIG_MAT
WM_HIG_MAT_011,WM_HIG_MAT
WM_HIG_MAT_012,WM_HIG_MAT
WM_HIG_MAT_013,WM_HIG_MAT
WM_HIG_MAT_014,WM_HIG_MAT
WM_HIG_MAT_015,WM_HIG_MAT
WM_HIG_MAT_016,WM_HIG_MAT
WM_HIG_MAT_017,WM_HIG_MAT
WM_HIG_MAT_018,WM_HIG_MAT
WM_HIG_MAT_019,WM_HIG_MAT
WM_HIG_MAT_020,WM_HIG_MAT
WM_HIG_MAT_021,WM_HIG_MAT
WM_HIG_MAT_022,WM_HIG_MAT
WM_HIG_MAT_023,WM_HIG_MAT
WM_HIG_MAT_024,WM_HIG_MAT
WM_HIG_MAT_025,WM_HIG_MAT
WM_HIG_SOU_001,WM_HIG_SOU
WM_HIG_SOU_002,WM_HIG_SOU
WM_HIG_SOU_003,WM_HIG_SOU
WM_HIG_VYP_001,WM_HIG_VYP
WM_HIG_VYP_002,WM_HIG_VYP
WM_HIG_VYP_003,WM_HIG_VYP
WM_HIG_VYP_004,WM_HIG_VYP
WM_HIG_VYP_005,WM_HIG_VYP
WM_HIG_VYP_006,WM_HIG_VYP
WM_HIG_VYP_007,WM_HIG_VYP
WM_HIG_VYP_008,WM_HIG_VYP
WM_HIG_VYP_009,WM_HIG_VYP
WM_HIG_VYP_010,WM_HIG_VYP
WM_HIG_VYP_011,WM_HIG_VYP
WM_HIG_VYP_012,WM_HIG_VYP
WM_HIG_VYP_013,WM_HIG_VYP
WM_HIG_WIL_001,WM_HIG_WIL
WM_HIG_WIL_002,WM_HIG_WIL
WM_HIG_WIL_003,WM_HIG_WIL
WM_HIG_WIL_004,WM_HIG_WIL
WM_HIG_WIL_005,WM_HIG_WIL
WM_HIG_WIL_006,WM_HIG_WIL
WM_HIG_WIL_007,WM_HIG_WIL
WM_HIG_WIL_008,WM_HIG_WIL
WM_HIG_WIL_009,WM_HIG_WIL
WM_HIG_WIL_010,WM_HIG_WIL
WM_HIG_WIL_011,WM_HIG_WIL
WM_HIG_WIL_012,WM_HIG_WIL
WM_HIG_WIL_013,WM_HIG_WIL
WM_HIG_WIL_014,WM_HIG_WIL
WM_HIG_WIL_015,WM_HIG_WIL
WM_HIG_WIL_016,WM_HIG_WIL
WM_HIG_WIL_017,WM_HIG_WIL
WM_HIG_WIL_018,WM_HIG_WIL
WM_HIG_WIL_019,WM_HIG_WIL
WM_HIG_WIL_020,WM_HIG_WIL
WM_HIG_WIL_021,WM_HIG_WIL
WM_HIG_WIL_022,WM_HIG_WIL
WM_HIG_WIL_023,WM_HIG_WIL
WM_HIG_WIL_024,WM_HIG_WIL
WM_KAK_VYT_001,WM_KAK_VYT
WM_KAK_VYT_002,WM_KAK_VYT
WM_KAK_VYT_003,WM_KAK_VYT
WM_KAK_VYT_004,WM_KAK_VYT
WM_KAK_VYT_005,WM_KAK_VYT
WM_KAK_VYT_006,WM_KAK_VYT
WM_KAK_VYT_007,WM_KAK_VYT
WM_KAK_VYT_008,WM_KAK_VYT
WM_KAK_VYT_009,WM_KAK_VYT
WM_KAK_VYT_010,WM_KAK_VYT
WM_KAK_VYT_011,WM_KAK_VYT
WM_KAK_VYT_012,WM_KAK_VYT
WM_KAK_VYT_013,WM_KAK_VYT
WM_KAK_VYT_014,WM_KAK_VYT
WM_KAK_VYT_015,WM_KAK_VYT
WM_KAK_VYT_016,WM_KAK_VYT
WM_KAK_VYT_017,WM_KAK_VYT
WM_KAK_VYT_018,WM_KAK_VYT
WM_KAK_VYT_019,WM_KAK_VYT
WM_KAK_VYT_020,WM_KAK_VYT
WM_KAK_VYT_021,WM_KAK_VYT
WM_KAK_VYT_022,WM_KAK_VYT
WM_KAK_VYT_023,WM_KAK_VYT
WM_KAK_VYT_024,WM_KAK_VYT
WM_KAK_VYT_025,WM_KAK_VYT
WM_KAK_VYT_026,WM_KAK_VYT
WM_MAT_HIG_001,WM_MAT_HIG
WM_MAT_HIG_002,WM_MAT_HIG
WM_MAT_HIG_003,WM_MAT_HIG
WM_MAT_HIG_004,WM_MAT_HIG
WM_MAT_HIG_005,WM_MAT_HIG
WM_MAT_HIG_006,WM_MAT_HIG
WM_MAT_HIG_007,WM_MAT_HIG
WM_MAT_HIG_008,WM_MAT_HIG
WM_MAT_HIG_009,WM_MAT_HIG
WM_MAT_HIG_010,WM_MAT_HIG
WM_MAT_HIG_011,WM_MAT_HIG
WM_MAT_HIG_012,WM_MAT_HIG
WM_MAT_HIG_013,WM_MAT_HIG
WM_MAT_HIG_014,WM_MAT_HIG
WM_MAT_HIG_015,WM_MAT_HIG
WM_MAT_HIG_016,WM_MAT_HIG
WM_MAT_HIG_017,WM_MAT_HIG
WM_MAT_HIG_018,WM_MAT_HIG
WM_MAT_HIG_019,WM_MAT_HIG
WM_MAT_HIG_020,WM_MAT_HIG
WM_MAT_HIG_021,WM_MAT_HIG
WM_MAT_HIG_022,WM_MAT_HIG
WM_MAT_HIG_023,WM_MAT_HIG
WM_MAT_HIG_024,WM_MAT_HIG
WM_SOU_CHE_001,WM_SOU_CHE
WM_SOU_CHE_002,WM_SOU_CHE
WM_SOU_CHE_003,WM_SOU_CHE
WM_SOU_CHE_004,WM_SOU_CHE
WM_SOU_CHE_005,WM_SOU_CHE
WM_SOU_CHE_006,WM_SOU_CHE
WM_SOU_CHE_007,WM_SOU_CHE
WM_SOU_ELO_001,WM_SOU_ELO
WM_SOU_ELO_002,WM_SOU_ELO
WM_SOU_ELO_003,WM_SOU_ELO
WM_SOU_ELO_004,WM_SOU_ELO
WM_SOU_ELO_005,WM_SOU_ELO
WM_SOU_ELO_006,WM_SOU_ELO
WM_SOU_ELO_007,WM_SOU_ELO
WM_SOU_HIG_001,WM_SOU_HIG
WM_SOU_HIG_002,WM_SOU_HIG
WM_SOU_HIG_003,WM_SOU_HIG
WM_VYT_KAK_001,WM_VYT_KAK
WM_VYT_KAK_002,WM_VYT_KAK
WM_VYT_KAK_003,WM_VYT_KAK
WM_VYT_KAK_004,WM_VYT_KAK
WM_VYT_KAK_005,WM_VYT_KAK
WM_VYT_KAK_006,WM_VYT_KAK
WM_VYT_KAK_007,WM_VYT_KAK
WM_VYT_KAK_008,WM_VYT_KAK
WM_VYT_KAK_009,WM_VYT_KAK
